aX,aY,aZ,gX,gY,gZ
-0.622,0.068,0.781,1.648,0.244,3.662
-0.626,0.068,0.793,1.038,1.160,3.418
-0.632,0.076,0.799,0.061,1.709,3.113
-0.637,0.078,0.794,0.183,2.441,2.930
-0.630,0.084,0.787,-0.305,3.662,2.686
-0.625,0.091,0.776,-1.404,4.333,2.258
-0.620,0.092,0.766,-0.977,4.028,2.502
-0.616,0.092,0.758,0.916,4.150,2.991
-0.612,0.093,0.758,3.174,3.479,3.662
-0.612,0.094,0.764,4.883,3.235,4.272
-0.613,0.097,0.771,4.761,2.319,4.456
-0.614,0.098,0.769,3.723,0.977,4.150
-0.613,0.098,0.767,2.869,-0.427,3.601
-0.612,0.094,0.766,2.930,-1.282,3.113
-0.612,0.088,0.764,2.991,0.549,2.380
-0.612,0.080,0.770,1.892,2.014,1.099
-0.617,0.078,0.783,-0.977,1.404,0.183
-0.622,0.079,0.787,-2.625,0.671,-0.244
-0.616,0.079,0.781,-2.380,1.709,-0.305
-0.609,0.076,0.776,-1.038,4.639,-0.244
-0.601,0.069,0.773,-1.221,3.174,0.000
-0.599,0.063,0.775,0.549,4.089,1.343
-0.601,0.064,0.771,0.671,3.235,2.502
-0.603,0.073,0.766,1.770,1.953,4.395
-0.605,0.086,0.766,1.770,0.610,5.066
-0.615,0.102,0.767,1.953,0.305,5.310
-0.618,0.109,0.775,0.732,-2.747,4.761
-0.626,0.115,0.779,1.160,-2.380,4.272
-0.636,0.120,0.783,-0.305,-3.174,3.418
-0.649,0.132,0.799,0.122,-4.395,3.296
-0.677,0.147,0.827,1.099,-3.113,3.113
-0.725,0.155,0.858,-0.122,-4.517,2.380
-0.784,0.192,0.913,0.183,-4.272,3.296
-0.904,0.259,1.012,5.005,-0.305,6.653
-1.099,0.356,1.172,6.470,8.301,8.789
-1.332,0.482,1.307,-1.526,19.287,6.531
-1.640,0.637,1.550,-2.563,28.015,4.578
-1.969,0.812,1.958,-1.770,47.974,-4.822
-2.241,0.930,2.273,-5.859,85.144,-23.560
-2.486,0.955,2.479,-16.968,136.841,-49.622
-2.715,0.979,2.629,-34.729,198.853,-79.346
-2.739,0.804,2.714,-41.809,264.709,-112.061
