aX,aY,aZ,gX,gY,gZ
0.128,0.174,0.964,8.545,-1.648,1.221
0.125,0.172,0.961,5.920,-1.648,1.343
0.126,0.169,0.960,3.052,-2.136,0.977
0.122,0.168,0.961,2.136,-3.235,0.854
0.125,0.164,0.959,2.014,-5.615,0.610
0.126,0.162,0.961,3.418,-5.554,0.671
0.130,0.161,0.967,5.005,-4.028,0.916
0.131,0.163,0.970,6.042,-2.869,1.465
0.133,0.159,0.970,6.226,-2.869,1.831
0.131,0.161,0.971,6.287,-2.563,2.380
0.125,0.164,0.969,6.958,-1.892,2.441
0.124,0.163,0.974,6.653,-2.502,2.258
0.123,0.168,0.969,4.150,-4.028,2.136
0.124,0.168,0.966,1.587,-4.822,2.258
0.123,0.169,0.967,0.854,-5.066,2.197
0.122,0.167,0.967,1.038,-5.310,1.953
0.124,0.167,0.966,1.587,-5.371,2.075
0.126,0.165,0.967,1.709,-5.066,1.892
0.123,0.167,0.970,2.197,-4.028,1.526
0.122,0.170,0.970,2.136,-4.028,1.465
0.121,0.166,0.968,1.709,-4.517,1.465
0.120,0.162,0.965,2.869,-4.761,1.282
0.121,0.163,0.968,4.578,-4.333,1.038
0.117,0.164,0.970,5.432,-4.639,1.221
0.120,0.169,0.971,5.554,-3.845,1.404
0.119,0.172,0.973,4.944,-3.845,1.465
0.119,0.180,0.982,4.578,-4.395,1.770
0.117,0.185,0.984,4.822,-2.502,1.648
0.115,0.191,0.994,5.493,-1.648,1.221
0.115,0.207,1.007,7.874,-1.099,0.793
0.111,0.213,1.039,12.512,-0.061,-0.427
0.112,0.211,1.081,20.447,0.000,-1.648
0.111,0.141,1.163,37.659,-0.305,-4.822
0.100,0.077,1.290,72.266,-0.488,-9.155
0.093,-0.080,1.527,126.343,-2.014,-15.442
0.078,-0.232,1.794,211.182,-3.113,-22.217
0.078,-0.460,2.042,325.378,2.747,-32.410
0.136,-0.724,2.326,453.308,10.498,-43.579
0.199,-1.054,2.516,576.904,23.560,-50.171
0.224,-1.430,2.653,678.955,38.879,-50.354
0.271,-1.774,2.741,772.827,58.411,-39.917
0.299,-2.013,2.630,863.525,71.960,-21.301
0.101,-2.117,2.272,936.584,73.303,10.742
-0.073,-2.056,1.806,966.187,69.580,74.158
-0.133,-2.006,1.469,942.810,64.941,146.301
-0.172,-1.751,1.143,882.568,61.401,206.055
-0.263,-1.278,0.721,820.984,60.974,248.596
-0.176,-0.934,0.359,748.779,56.396,266.479
-0.118,-0.548,0.103,673.035,46.753,271.851
-0.153,-0.218,-0.101,596.191,36.011,268.677
-0.187,0.097,-0.225,521.362,29.053,257.385
-0.218,0.402,-0.343,449.036,18.738,238.831
-0.277,0.525,-0.305,363.647,3.906,214.050
-0.317,0.657,-0.293,267.944,-10.803,184.570
-0.331,0.730,-0.273,177.368,-24.231,159.729
-0.296,0.840,-0.138,95.825,-46.082,138.062
-0.149,0.832,0.041,26.184,-72.144,115.967
0.013,0.715,0.221,-35.400,-93.201,90.149
0.182,0.527,0.349,-88.196,-102.661,64.148
0.287,0.403,0.810,-116.089,-95.032,43.152
0.606,0.172,1.767,-94.482,-70.251,19.531
0.803,-0.065,1.857,-28.870,3.723,-15.198
0.936,-0.233,1.390,5.798,69.336,-40.344
0.762,-0.541,0.719,-14.465,99.609,-36.743
0.646,-0.679,0.220,-63.232,105.042,-13.550
0.610,-0.785,-0.094,-88.562,96.680,4.028
0.592,-0.846,-0.313,-85.815,87.280,11.780
0.583,-0.929,-0.526,-70.374,76.904,13.794
0.574,-0.950,-0.709,-55.420,63.232,15.808
0.555,-0.937,-0.817,-46.692,45.715,20.142
0.543,-0.910,-0.829,-36.255,25.513,24.597
0.537,-0.902,-0.810,-20.691,4.456,24.231
0.540,-0.873,-0.764,-2.563,-10.071,20.386
0.554,-0.786,-0.638,12.817,-23.926,15.991
0.588,-0.700,-0.446,24.597,-34.607,10.132
0.622,-0.634,-0.235,35.156,-40.771,3.174
0.677,-0.549,-0.007,40.649,-38.574,-2.258
0.696,-0.513,0.131,35.645,-25.696,-5.676
0.714,-0.551,0.136,19.470,-9.583,-4.822
0.698,-0.622,0.046,-0.977,4.517,-0.916
0.645,-0.675,-0.094,-13.245,13.977,2.869
0.608,-0.719,-0.224,-14.832,17.029,4.272
0.580,-0.761,-0.308,-10.254,15.442,3.357
0.570,-0.787,-0.368,-3.845,11.414,2.197
0.567,-0.800,-0.391,0.793,6.897,2.197
0.578,-0.799,-0.394,3.418,3.052,2.625
0.593,-0.786,-0.384,5.798,-0.427,2.747
0.605,-0.771,-0.352,8.179,-3.357,2.197
0.611,-0.756,-0.310,10.010,-5.249,1.404
0.621,-0.741,-0.282,10.376,-6.470,1.038
0.620,-0.727,-0.254,10.132,-6.897,1.343
